repository,stars,creation_date,last_update_date,primary_language,total_releases,accepted_pull_requests,total_issues,closed_issues,repository_age_days,days_since_last_update,closed_issues_ratio
freeCodeCamp/freeCodeCamp,426267,2014-12-24 17:49:19+00:00,2025-08-23 18:19:20+00:00,TypeScript,0,25732,19832,19639,3895,0,0.9902682533279549
codecrafters-io/build-your-own-x,413358,2018-05-09 12:03:18+00:00,2025-07-29 21:02:41+00:00,Markdown,0,142,824,595,2663,24,0.7220873786407767
sindresorhus/awesome,394310,2014-07-11 13:42:37+00:00,2025-07-18 18:37:33+00:00,N/A,0,679,354,340,4061,36,0.96045197740113
EbookFoundation/free-programming-books,365886,2013-10-11 06:50:37+00:00,2025-08-23 12:50:50+00:00,Python,0,6821,1181,1152,4334,0,0.9754445385266723
public-apis/public-apis,362603,2016-03-20 23:49:42+00:00,2025-05-20 15:56:34+00:00,Python,0,1872,712,704,3442,95,0.9887640449438202
kamranahmedse/developer-roadmap,334393,2017-03-15 13:45:52+00:00,2025-08-23 00:12:35+00:00,TypeScript,1,3694,2942,2693,3083,0,0.9153636981645139
jwasham/coding-interview-university,324722,2016-06-06 02:34:12+00:00,2024-12-05 23:47:30+00:00,N/A,0,415,516,453,3365,260,0.877906976744186
donnemartin/system-design-primer,317260,2017-02-26 16:15:28+00:00,2025-05-21 11:13:33+00:00,Python,0,200,339,91,3100,94,0.26843657817109146
996icu/996.ICU,274139,2019-03-26 07:31:14+00:00,2025-08-22 06:01:29+00:00,N/A,0,1071,0,0,2342,1,0.0
vinta/awesome-python,256382,2014-06-27 21:00:06+00:00,2025-07-17 16:35:51+00:00,Python,0,544,0,0,4074,37,0.0
awesome-selfhosted/awesome-selfhosted,243313,2015-06-01 02:33:17+00:00,2025-08-22 08:51:14+00:00,N/A,1,2394,806,806,3736,1,1.0
practical-tutorials/project-based-learning,240834,2017-04-12 05:07:46+00:00,2024-08-15 05:33:54+00:00,N/A,0,182,210,79,3055,373,0.3761904761904762
facebook/react,238348,2013-05-24 16:15:54+00:00,2025-08-23 00:37:40+00:00,JavaScript,105,12137,14001,13196,4474,0,0.9425041068495108
vuejs/vue,209292,2013-07-29 03:24:51+00:00,2024-10-10 07:24:15+00:00,TypeScript,249,1133,10028,9673,4408,317,0.9645991224571201
TheAlgorithms/Python,204308,2016-07-16 09:44:01+00:00,2025-08-23 03:48:54+00:00,Python,0,2977,1587,1511,3325,0,0.9521109010712036
torvalds/linux,200538,2011-09-04 22:48:12+00:00,2025-08-23 15:30:56+00:00,C,0,10,0,0,5101,0,0.0
trekhleb/javascript-algorithms,193061,2018-03-24 07:47:04+00:00,2025-02-12 16:19:59+00:00,JavaScript,0,302,366,229,2709,192,0.6256830601092896
tensorflow/tensorflow,191292,2015-11-07 01:19:20+00:00,2025-08-23 18:48:51+00:00,C++,219,36042,40742,39845,3577,0,0.9779834077855776
ossu/computer-science,190874,2014-05-04 00:18:39+00:00,2025-08-23 18:48:52+00:00,HTML,0,299,652,638,4129,0,0.9785276073619632
trimstray/the-book-of-secret-knowledge,183388,2018-06-23 10:43:14+00:00,2024-11-19 14:00:38+00:00,N/A,0,122,0,0,2618,277,0.0
getify/You-Dont-Know-JS,183008,2013-11-16 02:37:24+00:00,2025-05-20 14:22:36+00:00,N/A,0,368,944,863,4298,95,0.9141949152542372
CyC2018/CS-Notes,181536,2018-02-13 14:56:24+00:00,2024-08-21 09:40:10+00:00,N/A,0,374,571,448,2748,367,0.7845884413309983
ohmyzsh/ohmyzsh,180890,2009-08-28 18:15:37+00:00,2025-08-19 10:46:13+00:00,Shell,0,3377,4964,4824,5839,4,0.9717969379532635
Significant-Gravitas/AutoGPT,178016,2023-03-16 09:21:07+00:00,2025-08-23 20:11:37+00:00,Python,68,3199,3394,3232,891,0,0.9522687094873306
microsoft/vscode,176014,2015-09-03 20:23:38+00:00,2025-08-23 19:23:17+00:00,TypeScript,177,36281,205610,193474,3642,0,0.9409756334808618
twbs/bootstrap,172895,2011-07-29 21:19:00+00:00,2025-08-22 22:16:00+00:00,MDX,93,8974,22751,22346,5138,0,0.9821985846775966
flutter/flutter,172041,2015-03-06 22:54:58+00:00,2025-08-23 10:09:31+00:00,Dart,7,43862,108857,96954,3822,0,0.8906547121452916
jackfrued/Python-100-Days,171184,2018-03-01 16:05:52+00:00,2025-03-28 10:29:23+00:00,Jupyter Notebook,0,13,691,118,2732,148,0.170767004341534
github/gitignore,168836,2010-11-08 20:17:14+00:00,2025-08-22 23:36:39+00:00,N/A,0,1716,0,0,5402,0,0.0
jlevy/the-art-of-command-line,157866,2015-05-20 15:11:03+00:00,2024-06-25 18:13:44+00:00,N/A,0,317,258,136,3748,424,0.5271317829457365
AUTOMATIC1111/stable-diffusion-webui,155875,2022-08-22 14:05:26+00:00,2025-05-03 06:17:03+00:00,Python,27,1874,7830,5467,1097,112,0.6982120051085569
Snailclimb/JavaGuide,151385,2018-05-07 13:27:00+00:00,2025-08-20 02:17:55+00:00,Java,0,1180,1104,1032,2665,3,0.9347826086956522
ollama/ollama,150778,2023-06-26 19:39:32+00:00,2025-08-23 16:50:06+00:00,Go,143,2475,8021,6242,789,0,0.7782072060840294
avelino/awesome-go,150631,2014-07-06 13:42:15+00:00,2025-08-21 02:49:55+00:00,Go,0,3458,688,682,4066,2,0.9912790697674418
huggingface/transformers,148714,2018-10-29 13:56:00+00:00,2025-08-23 10:30:20+00:00,Python,224,16681,17823,16737,2490,0,0.939067497054368
